Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Description,Environment,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Actual result),Custom field (Branch),Custom field (Build Version),Custom field (Component/s),Custom field (Defect preconditions),Custom field (Epic Link),Custom field (Epic/Theme),Custom field (Expected result),Custom field (Fix Version/s),Custom field (Flagged),Custom field (HH Options),Custom field (Location),Custom field (Original story points),Custom field (Parent Link),Custom field (QA person),Custom field (Rank),Custom field (Requirement),Sprint,Custom field (Steps to reproduce),Custom field (Story Points),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Environment),Custom field (Version 1.0),Custom field (Version app),Custom field (Work Price),Comment
 Натискання Enter додає порожній елемент у список при пустому полі вводу,TESPG177-686,190366,Bug,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 1:27 PM,14/Apr/26 11:16 PM,12/Sep/26 10:11 PM,14/Apr/26 11:16 PM,,,,,0,,"*Preconditions:*
# Запущено List Boxer 1.98
# Поле вводу порожнє

*Steps to Reproduce:*
# Переконатися, що поле вводу не містить значень
# Натиснути клавішу Enter
# Перевірити вміст списку

*Actual Result:*
До списку додається порожній елемент

*Expected Result:*
Не вказано. У вимогах зазначено, що натискання Enter додає рядок у список, без уточнення поведінки для порожнього значення",,b.kotkov_g177,,,,,,,,,,,TESPG177-495,"11/Apr/26 1:27 PM;b.kotkov_g177;2026-04-11 12-27-02.mp4;https://bt.qacloud.cc/secure/attachment/117972/2026-04-11+12-27-02.mp4",,,,,,,,,,,,,,,,,,,"1|i0gesl:",,,,,,,,,,,,
"Кнопка ""Add to List"" дозволяє додати порожній елемент у список",TESPG177-685,190365,Bug,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 1:24 PM,14/Apr/26 11:16 PM,12/Sep/26 10:11 PM,14/Apr/26 11:16 PM,,,,,0,,"*Preconditions:*
# Запущено List Boxer 1.98
# Поле вводу порожнє

*Steps to Reproduce:*
# Переконатися, що поле вводу не містить значень
# Натиснути кнопку ""Add to List""
# Перевірити вміст списку

*Actual Result:*
До списку додається порожній елемент

*Expected Result:*
Не вказано. У вимогах описано лише, що кнопка ""Add to List"" переносить інформацію з поля вводу в список, без уточнення поведінки для порожнього значення ",,b.kotkov_g177,,,,,,,,,,,TESPG177-495,"11/Apr/26 1:24 PM;b.kotkov_g177;2026-04-11 12-23-48.mp4;https://bt.qacloud.cc/secure/attachment/117971/2026-04-11+12-23-48.mp4",,,,,,,,,,,,,,,,,,,"1|i0gesd:",,,,,,,,,,,,
"У групі Sort Order, option button ""Descending"" не сортує список коректно за спаданням ",TESPG177-684,190364,Bug,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 1:21 PM,14/Apr/26 11:17 PM,10/Sep/26 12:29 PM,14/Apr/26 11:17 PM,,,,,0,,"*Preconditions:*
# Запущено List Boxer 1.98

*Steps to Reproduce:*
# Додати декілька елементів у список
# Обрати option button ""Descending"" у групі Sort Order
# Перевірити порядок відображення списку

*Actual Result:*
Список не сортується за спаданням, сортування відбувається коретно між 9 і 3, далі відбувається баг тому 1 і 2 фільтруються не за спаданням.

*Expected Result:*
Список має сортуватися за спаданням при виборі option button ""Descending"" 

 ",,b.kotkov_g177,,,,,,,,,,,TESPG177-495,"11/Apr/26 1:19 PM;b.kotkov_g177;2026-04-11 12-18-25.mp4;https://bt.qacloud.cc/secure/attachment/117970/2026-04-11+12-18-25.mp4",,,,,,,,,,,,,,,,,,,"1|i0ges5:",,,,,,,,,,,,
"Відкритий список не містить раніше збережених даних. Після відкриття збереженого списку, програма пропускає перший запис ігноруючи його.",TESPG177-683,190363,Bug,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 1:04 PM,14/Apr/26 11:17 PM,12/Sep/26 10:11 PM,14/Apr/26 11:17 PM,,,,,0,,"*Preconditions:*
 # Запущено List Boxer 1.98
 # Існує раніше збережений файл списку з даними (1 to 10)

*Steps to Reproduce:*
 # Викликати команду відкриття файлу (наприклад, через меню або Ctrl+O)
 # Обрати раніше збережений файл списку
 # Підтвердити відкриття
 # Перевірити вміст списку

*Actual Result:*
Після відкриття список не містить першого збереженого запису, решта записів підвантажилась коректно

*Expected Result:*
Після відкриття список містить коректні збережені дані відповідно до функції відкриття списків",,b.kotkov_g177,,,,,,,,,,,TESPG177-495,"11/Apr/26 1:04 PM;b.kotkov_g177;2026-04-11 12-03-46.mp4;https://bt.qacloud.cc/secure/attachment/117969/2026-04-11+12-03-46.mp4",,,,,,,,,,,,,,,,,,,"1|i0gerx:",,,,,,,,,,,,
List Boxer дозволяє зберегти порожній список та створює файл без попередження,TESPG177-682,190362,Bug,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 12:49 PM,14/Apr/26 11:16 PM,12/Sep/26 10:11 PM,14/Apr/26 11:16 PM,,,,,0,,"*Preconditions:*
 # Запущено List Boxer 1.98
 # Список порожній

*Steps to Reproduce:*
 # Переконатися, що список не містить елементів
 # Виконати збереження списку через Ctrl+S
 # Обрати місце збереження
 # Підтвердити збереження

*Actual Result:*
Програма дозволяє збереження порожнього списку і створює файл. При відкритті новоствореного файлу маємо у лічильнику 1 запис але у списку його немає.

*Expected Result:*
Не вказано. У вимогах відсутня інформація щодо обмежень на збереження порожнього списку",,b.kotkov_g177,,,,,,,,,,,TESPG177-495,"11/Apr/26 12:48 PM;b.kotkov_g177;2026-04-11 11-47-32.mp4;https://bt.qacloud.cc/secure/attachment/117966/2026-04-11+11-47-32.mp4",,,,,,,,,,,,,,,,,,,"1|i0gerp:",,,,,,,,,,,,
"Замовлення успішно оформлюється з невалідними даними у формі оформлення замовлення(Контактні дані, Доставка, Оплата).",TESPG177-111,189787,Bug,To Do,TESPG177,Test_Project_G177,software,nboboshko,,,Major,,,b.kotkov_g177,b.kotkov_g177,06/Mar/26 7:54 PM,06/Mar/26 7:54 PM,12/Sep/26 10:11 PM,,,,,,0,,"*Preconditions:*
# Запустити ПК
# Відкрити браузер
# Перейти за URL: [https://www.digitalfury.pro|https://www.digitalfury.pro/]
# Вибрати будь-який товар і додати його в кошик
# Перейти в кошик

*Steps to Reproduce:*
# Відкрити сайт за URL: [https://www.digitalfury.pro|https://www.digitalfury.pro/]
# Додати будь-який продукт у кошик
# Натиснути на кошик і перейти на сторінку з оформленням замовлення
# Клікнути на чекбокс ""{_}Я погоджуюсь з обробкою моїх даних{_}"" щоб в ньому з'явилась галочка
# Натиснути на кнопку ""Оформити замовлення""
# У секції ""Контактні дані"" ввести невалідні/рандомні дані:
+Приклад:+
+Ім'я та прізвище+ --> 1
+Місто+ --> 1
+Телефон+ --> +38(010)-000-00-00
+Эл. почта+ --> 1
-
# У секції ""Вибір способу оплати та доставки"" обрати:
+Доставка:+ Самовивіз із Нової Пошти (Відділення Нової Пошти --> 1 )
+Оплата:+ Готівкою

*Actual Result:*
Система приймає невалідні або випадкові значення в обов'язкових полях (Ім'я, Місто, Електронна пошта, Телефон, Відділення доставки) і успішно створює замовлення.
Користувач перенаправляється на сторінку підтвердження замовлення, де відображається:
""{_}Дякую, ваше замовлення прийнято{_}""

*Expected Result:*
Система повинна перевіряти введені користувачем дані перед тим, як дозволити відправлення замовлення.
Замовлення не повинно створюватися, поки всі обов'язкові поля не будуть містити дійсних даних.","*URL:* https://www.digitalfury.pro/
*Browser:* Google Chrome (Версія 145.0.7632.160)",b.kotkov_g177,,,,,,,,,,,,"06/Mar/26 7:51 PM;b.kotkov_g177;зображення_2026-03-06_185124528.png;https://bt.qacloud.cc/secure/attachment/117551/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-03-06_185124528.png","06/Mar/26 7:52 PM;b.kotkov_g177;зображення_2026-03-06_185229916.png;https://bt.qacloud.cc/secure/attachment/117550/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-03-06_185229916.png","06/Mar/26 7:53 PM;b.kotkov_g177;зображення_2026-03-06_185327945.png;https://bt.qacloud.cc/secure/attachment/117549/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-03-06_185327945.png","06/Mar/26 7:54 PM;b.kotkov_g177;зображення_2026-03-06_185421974.png;https://bt.qacloud.cc/secure/attachment/117548/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-03-06_185421974.png",,,,,,,,,,,,,,,,"1|i0gb8t:",,,,,,,,,,,,
Товари в кошику не зберігаються після перезапуску браузера (кошик очищується після закриття браузера),TESPG177-110,189786,Bug,To Do,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,,,b.kotkov_g177,b.kotkov_g177,06/Mar/26 6:18 PM,09/Mar/26 9:02 PM,12/Sep/26 10:11 PM,,,,,,0,,"*Preconditions:*
 # Запустити ПК
 # Відкрити браузер
 # Перейти за URL: [https://www.digitalfury.pro|https://www.digitalfury.pro/]
 # Головна сторінка відкрита
 # Товари в наявності, щоб додати їх в кошик

*Steps to Reproduce*
 # Перейти на будь-яку сторінку з товаром
 # Додати один або більше товарів у кошик
 # Перейти на сторінку з товаром і впевнитися, що товар справді доданий у кошик і відображений на сторінці
 # Закрити вкладку браузера і знову відкрити веб-сайт
--> Переконатися, що товари все ще знаходяться у кошику
 # Тепер повністю закрити ваш браузер
 # Відкрити браузер знову
 # Перейти за URL: [https://www.digitalfury.pro|https://www.digitalfury.pro/]
 # Відкрити кошик товарів

*Actual Result*
Після перезапуску браузера кошик стає порожнім, а раніше додані товари видаляються
Система відображає повідомлення: «У кошику немає жодного товару».

*Expected Result*
Продукти які були додані до кошика, повинні залишатися в кошику після закриття та повторного відкриття браузера, що дозволяє користувачеві продовжувати покупки без втрати вибраних товарів.

 ","*Browser:* Google Chrome (Версія 145.0.7632.160)
*URL:* https://www.digitalfury.pro",b.kotkov_g177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|i0gb8l:",,,,,,,,,,,,
Форма підписки на розсилку новин приймає невалідне значення електронної адреси «@» і відображає повідомлення про успішну підписку,TESPG177-109,189785,Bug,To Do,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,,,b.kotkov_g177,b.kotkov_g177,06/Mar/26 5:36 PM,06/Mar/26 5:36 PM,12/Sep/26 10:11 PM,,,,,,0,,"*Preconditions:*
 # Запустити ПК
 # Відкрити браузер
 # Перейти за URL: [https://www.digitalfury.pro|https://www.digitalfury.pro/]
 # Головна сторінка відкрита
 # Форма підписки на розсилку новин знаходиться в футері веб-сайту
 # Поле для вводу і кнопка ""ПІДПИСАТИСЯ"" відображаються

*Steps to Reproduce:*
 # Відкрийте сайт у браузері
 # Прокрутіть сторінку вниз до футеру
 # Знайдіть форму підписки на розсилку новин
 # Клацніть всередині поля введення електронної адреси
 # Введіть символ «@» у поле електронної адреси
 # Натисніть кнопку «ПІДПИСАТИСЯ»
 # Спостерігайте за реакцією системи

*Actual Result:*
Система приймає невалідне значення електронної адреси «@» і відображає повідомлення про успішне підтвердження підписки: «Успішно
Дякую за підписку»

*Expected Result:*
Система повинна перевіряти введену адресу електронної пошти та відхиляти недійсні формати.
Користувач повинен бачити повідомлення про помилку перевірки (наприклад: «Введіть дійсну адресу електронної пошти»), і підписка не повинна оброблятися, доки не буде вказано дійсну адресу електронної пошти.

 ","*Browser:* Google Chrome (Версія 145.0.7632.160)
*URL:* https://www.digitalfury.pro
",b.kotkov_g177,,,,,,,,,,,,"06/Mar/26 5:34 PM;b.kotkov_g177;зображення_2026-03-06_163451308.png;https://bt.qacloud.cc/secure/attachment/117547/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-03-06_163451308.png","06/Mar/26 5:36 PM;b.kotkov_g177;зображення_2026-03-06_163615313.png;https://bt.qacloud.cc/secure/attachment/117546/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-03-06_163615313.png",,,,,,,,,,,,,,,,,,"1|i0gb8d:",,,,,,,,,,,,
"[Сторінка логіну] Лінк ""Напомнить пароль"" не працює: при натисканні URL змінюється на «/login#», але будь-які подальші дії щоб відновити пароль не можливі.",TESPG177-103,189555,Bug,To Do,TESPG177,Test_Project_G177,software,nboboshko,,,Major,,,b.kotkov_g177,b.kotkov_g177,03/Mar/26 4:21 PM,04/Mar/26 9:46 PM,12/Sep/26 10:11 PM,,,,,,0,,"*Preconditions:*
 # Користувач на сторінці логіну [http://v1.qalight.com.ua/login]
 # Користувач не аутентифікований
 # Форма логіну відображається
 # Лінк ""Напомнить пароль"" видимий і доступний для натискання

*Steps to Reproduce*
 # Запустити ПК
 # Відкрити браузер
 # Перейти за URL: [http://v1.qalight.com.ua/login]
 # Знайти лінку ""Напомнить пароль"" у логін боксі в лівому нижньому углу
 # Клікнути на лінку ""Напомнить пароль"" один раз
 # Спостерігаємо за поведінкою сторінки після кліка:
Чи перенаправляє сторінка на іншу URL-адресу?
Чи відкривається нова сторінка?
Чи з'являється модальне вікно/спливаюче вікно?
 # Спостерігаємо за адресним рядком браузера після кліка

*Actual Result*
Після натискання ""Напомнить пароль"" сторінка не перенаправляє на сторінку відновлення пароля і не відкриває жодної форми чи модального вікна для відновлення пароля.
Єдина видима зміна — це URL-адреса в адресному рядку:
* До натискання: [http://v1.qalight.com.ua/login]
* Після натискання: [http://v1.qalight.com.ua/login#]

Перевірка DevTools показує, що посилання реалізовано як заглушка:
<a href=""#"">Напомнить пароль</a> .

*Expected Result*
Коли користувач натискає лінку ""Напомнить пароль"" то система повинна забезпечити процес відновлення пароля","*OS:* Windows 11 Pro (25H2)
*Browser:* Opera GX 127.0.5778.75 (7LVL)
*URL:* [http://v1.qalight.com.ua|http://v1.qalight.com.ua/]
*Device:* Lenovo LOQ 15IAX9",b.kotkov_g177,nboboshko,,,,,,,,,,,"03/Mar/26 4:20 PM;b.kotkov_g177;зображення_2026-03-03_152035374.png;https://bt.qacloud.cc/secure/attachment/117482/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-03-03_152035374.png","03/Mar/26 4:21 PM;b.kotkov_g177;зображення_2026-03-03_152133975.png;https://bt.qacloud.cc/secure/attachment/117481/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-03-03_152133975.png",,,,,,,,,,,,,,,,,,"1|i0g9t9:",,,,,,,,,,,,"04/Mar/26 9:46 PM;nboboshko;Hello! You are the best!;;;"
UI не відповідає погодженому дизайну - Breadcrumb не розміщений під системним лого як написано у вимогах пункту 3.1.1 Требования к ПО,TESPG177-51,189388,Bug,To Do,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,,,b.kotkov_g177,b.kotkov_g177,28/Feb/26 4:36 PM,04/Mar/26 9:46 PM,12/Sep/26 10:11 PM,,,,,,0,,"*Preconditions:*
# Запустити ПК
# Відкрити браузер
# Перейти за URL: [http://v1.qalight.com.ua|http://v1.qalight.com.ua/]
# Користувач залогінений у систему
# Відкрита головна сторінка сайту

*Steps to Reproduce:*
# Відкрити будь яку сторінку на свій вибір, наприклад (Обслуживание, Установка, ...)
# Переглянути розташування Breadcrumb-у
# Порівняти його розташування з +Рисунок 3 - 21+ згідно +пункту 3.1.1 Требования к ПО+

*Actual Result:*
Breadcrumb знаходиться у верхньому-правому куті сторінки.
Зважаючи на цей можемо зрозуміти, що він не розташований під системним лого.

*Expected Result:*
Breadcrumb маэ бути розташований знизу під системним лого, як це вказано у +пункті 3.1.1 Требования к ПО+","*OS:* Windows 11 Pro (25H2)
*Browser:* Opera GX 127.0.5778.75 (7LVL)
*URL:* [http://v1.qalight.com.ua|http://v1.qalight.com.ua/]
*Device:* Lenovo LOQ 15IAX9",b.kotkov_g177,nboboshko,,,,,,,,,,,"28/Feb/26 4:34 PM;b.kotkov_g177;зображення_2026-02-28_153455554.png;https://bt.qacloud.cc/secure/attachment/117407/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-02-28_153455554.png","28/Feb/26 4:36 PM;b.kotkov_g177;зображення_2026-02-28_153607177.png;https://bt.qacloud.cc/secure/attachment/117406/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-02-28_153607177.png",,,,,,,,,,,,,,,,,,"1|i0g8sl:",,,,,,,,,,,,"04/Mar/26 9:46 PM;nboboshko;Hello! You are the best!;;;"
UX Проблема - Неповний Breadcrumbs на сторінці редагування співробітника порівняно зі сторінкою списку співробітників,TESPG177-50,189386,Bug,To Do,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,,,b.kotkov_g177,b.kotkov_g177,28/Feb/26 2:11 PM,04/Mar/26 9:46 PM,12/Sep/26 10:11 PM,,,,,,0,,"*Preconditions:*
# Запустити ПК
# Відкрити браузер
# Перейти за URL: http://v1.qalight.com.ua
# Користувач залогінений у систему
# Сторінка ""Сотрудники"" відкрита (http://v1.qalight.com.ua/dictionary/workers)

*Steps to Reproduce:*
# На сторінці ""Сотрудники"" зверніть увагу на Breadcrumbs ""Домой > Словари > Сотрудники"".
# Відкрийте будь-якого співробітника для редагування
# Зверніть увагу на Breadcrumbs на сторінці редагування

*Actual Result:*
На сторінці з списком співробітників Breadcrumb має вигляд: Домой > Словари > Сотрудники. 
Але якщо ми перейдемо на сторінку редагування одного з співробітників наш Breadcrumb матиме вигляд: Домой > Словарь.

*Expected Result:*
Breadcrumb на сторінці редагування повинен зберігати ієрархію, ""Домой > Словари > Сотрудники > Сотрудник (Редактирование)"", відповідно до інших прикладів інтерфейсу користувача у +Рисунку 10+, +Рисунку 14+, +Рисунку 17+.


","*OS:* Windows 11 Pro (25H2)
*Browser:* Opera GX 127.0.5778.75 (7LVL)
*URL:* [http://v1.qalight.com.ua|http://v1.qalight.com.ua/]
*Device:* Lenovo LOQ 15IAX9",b.kotkov_g177,nboboshko,,,,,,,,,,,"28/Feb/26 2:10 PM;b.kotkov_g177;зображення_2026-02-28_131007292.png;https://bt.qacloud.cc/secure/attachment/117405/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-02-28_131007292.png","28/Feb/26 2:11 PM;b.kotkov_g177;зображення_2026-02-28_131130421.png;https://bt.qacloud.cc/secure/attachment/117404/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-02-28_131130421.png",,,,,,,,,,,,,,,,,,"1|i0g8s5:",,,,,,,,,,,,"04/Mar/26 9:46 PM;nboboshko;Hello! You are the best!;;;"
"Сторінка зі списком співробітників не відповідає необхідній структурі таблиці та діям (рисунок 7 / пункт 3.1.4, 3.1.2 Требование к ПО) ",TESPG177-49,189385,Bug,To Do,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,,,b.kotkov_g177,b.kotkov_g177,28/Feb/26 1:23 PM,04/Mar/26 9:46 PM,12/Sep/26 10:11 PM,,,,,,0,,"*Preconditions:*
# Запустити ПК
# Відкрити браузер
# Перейти за URL: http://v1.qalight.com.ua
# Користувач залогінений у систему
# Сторінка ""Сотрудники"" відкрита (http://v1.qalight.com.ua/dictionary/workers)

*Steps to Reproduce:*
# Залогінитись у систему
# Відкрити сторінку ""Сотрудники""
# Переглянути заголовки таблиці і доступні дії для кожного рядка
# Переглянути кнопку з допомогою якої ми можемо створити нові записи
# Порівняти інтерфейс із +Рисунком 7+ у *пункті 3.1.4 Требование к ПО*

*Actual Result:*
Таблиця з співробіниками не містить відповідних колонок ""Фамилия"", ""Имя"", ""Отчество"", замість цього маємо тільки одну показану колонку ""Сотрудник"".
Немає лінків ""Редактировать"" і ""Удалить"" для кожного запису.
Також маємо кнопку з плюсиком ""ADD"" замість лінки ""добавить""

*Expected Result:*
Таблиця з співробітниками повинна містити такі колонки: ""Фамилия"", ""Имя"", ""Отчество"", ""Телефон"".
Кожен запис повинен містити лінки ""Редактировать"" і ""Удалить"", а також у правому боці над заголовком таблиці містити лінк ""добавить""  як показано у +Рисунок 7+ і описано у *пункті 3.1.2 Требования к ПО*

","*OS:* Windows 11 Pro (25H2)
*Browser:* Opera GX 127.0.5778.75 (7LVL)
*URL:* [http://v1.qalight.com.ua|http://v1.qalight.com.ua/]
*Device:* Lenovo LOQ 15IAX9",b.kotkov_g177,nboboshko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|i0g8rx:",,,,,,,,,,,,"04/Mar/26 9:46 PM;nboboshko;Hello! You are the best!;;;"
"Невідповідність UI структурі - Dropdown menu замість окремої сторінки яка містить відповідні посилання на переліки ""Сотрудники, Апарати, Запчасти, ...""",TESPG177-42,189351,Bug,To Do,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,,,b.kotkov_g177,b.kotkov_g177,28/Feb/26 1:18 AM,04/Mar/26 9:46 PM,12/Sep/26 10:11 PM,,,,,,0,,"*Preconditions:*
# Запустити ПК
# Відкрити браузер
# Перейти за URL: [http://v1.qalight.com.ua|http://v1.qalight.com.ua/]
# Користувач залогінений у систему
# Головна сторінка відкрита

*Steps to reproduce:*
# Клікнути на розділ ""Словари"" у лівому сайдбарі.
# Спостерігаємо що відбувається

*Actual Result*
Клікнувши на розділ ""Словари"" відкривається Dropdown menu замість окремої сторінки з посиланнями

*Expected Result*
Клікнувши на розділ ""Словари"" повинно перемаршрутизувати на сторінку де містяться посилання на переліки, як показано у +Рисунку 6+ (Пункт 3.1.3, *Требования к ПО*).","*OS:* Windows 11 Pro (25H2)
*Browser:* Opera GX 127.0.5778.75 (7LVL)
*URL:* [http://v1.qalight.com.ua|http://v1.qalight.com.ua/]
*Device:* Lenovo LOQ 15IAX9",b.kotkov_g177,nboboshko,,,,,,,,,,,"28/Feb/26 1:18 AM;b.kotkov_g177;зображення_2026-02-28_001837366.png;https://bt.qacloud.cc/secure/attachment/117376/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-02-28_001837366.png","28/Feb/26 1:21 AM;b.kotkov_g177;зображення_2026-02-28_002142916.png;https://bt.qacloud.cc/secure/attachment/117378/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-02-28_002142916.png",,,,,,,,,,,,,,,,,,"1|i0g8kd:",,,,,,,,,,,,"04/Mar/26 9:46 PM;nboboshko;Hello! You are the best!;;;"
"Некоретна назва розділу ""Словари"" замість ""Справочники"" у лівому сайдбарі (Требования к ПО, пункт 3.1.3)",TESPG177-41,189350,Bug,To Do,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,,,b.kotkov_g177,b.kotkov_g177,28/Feb/26 12:28 AM,04/Mar/26 9:46 PM,12/Sep/26 10:11 PM,,,,,,0,,"*Preconditions:*
# Запустити ПК
# Відкрити браузер
# Перейти за URL: [http://v1.qalight.com.ua|http://v1.qalight.com.ua/]
# Користувач залогінений у систему
# Головна сторінка відкрита

*Steps to reproduce:*
# На головній сторінці переглянути назву розділу ""Словари""
# Порівняти назви розділів згідно (Требования к ПО, пункт 3.1.3)

*Actual Result*
У лівому сайдбарі розділ має назву ""Словари"" замість ""Справочники"".
Також у короткій інструкції вказано ""Для того, чтобы внести данные о поставщиках, ... перейдите в раздел «Справочники».""

*Expected Result*
У лівому сайдбарі розділ має мати назву ""Справочники"" згідно (Требования к ПО, пункт 3.1.3)","*OS:* Windows 11 Pro (25H2)
*Browser:* Opera GX 127.0.5778.75 (7LVL)
*URL:* [http://v1.qalight.com.ua|http://v1.qalight.com.ua/]
*Device:* Lenovo LOQ 15IAX9",b.kotkov_g177,nboboshko,,,,,,,,,,,"28/Feb/26 12:24 AM;b.kotkov_g177;зображення_2026-02-27_232454488.png;https://bt.qacloud.cc/secure/attachment/117375/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-02-27_232454488.png","28/Feb/26 12:27 AM;b.kotkov_g177;зображення_2026-02-27_232710277.png;https://bt.qacloud.cc/secure/attachment/117374/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-02-27_232710277.png",,,,,,,,,,,,,,,,,,"1|i0g8k5:",,,,,,,,,,,,"04/Mar/26 9:46 PM;nboboshko;Hello! You are the best!;;;"
"Розділ «Отчеты» відсутній у лівому сайдбарі на головній сторінці, хоча вказаний на головній сторінці у короткій інструкції ",TESPG177-40,189349,Bug,To Do,TESPG177,Test_Project_G177,software,nboboshko,,,Major,,,b.kotkov_g177,b.kotkov_g177,27/Feb/26 11:17 PM,04/Mar/26 9:46 PM,12/Aug/26 9:07 PM,,,,,,0,,"*Preconditions:*
 # Запустити ПК
 # Відкрити браузер
 # Перейти за URL: [http://v1.qalight.com.ua|http://v1.qalight.com.ua/]
 # Користувач зареєстрований у систему
 # Користувач залогінений у систему
 # Головна сторінка відкрита

*Steps to reproduce:*
 # Переглянути коротку інструкцію користування системою у текстовому полі (Останній рядок де пишеться про розділ «Отчеты»)
 # Спробувати знайти розділ «Отчеты» у лівому сайдбарі

*Actual Result*
Коротка інструкція на головній сторінці посилається на розділ «Отчеты».
Але розділ «Отчеты» у лівому сайдбарі відсутній.
Користувач не може перейти у цей розділ

*Expected Result*
Розділ «Отчеты» має міститись у лівому сайдбарі як показано на рисунку 3, пункту 3.1.1 Требования к ПО.
Вміст сайдбару повинен відповідати тексту інструкції.","*OS:* Windows 11 Pro (25H2)
*Browser:* Opera GX 127.0.5778.75 (7LVL)
*URL:* [http://v1.qalight.com.ua|http://v1.qalight.com.ua/]
*Device:* Lenovo LOQ 15IAX9",b.kotkov_g177,nboboshko,,,,,,,,,,,"27/Feb/26 11:23 PM;b.kotkov_g177;зображення_2026-02-27_222253692.png;https://bt.qacloud.cc/secure/attachment/117371/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-02-27_222253692.png","27/Feb/26 11:24 PM;b.kotkov_g177;зображення_2026-02-27_222358430.png;https://bt.qacloud.cc/secure/attachment/117372/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-02-27_222358430.png",,,,,,,,,,,,,,,,,,"1|i0g8jx:",,,,,,,,,,,,"04/Mar/26 9:46 PM;nboboshko;Hello! You are the best!;;;"
