Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Description,Environment,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Automation Test Key),Custom field (Branch),Custom field (Build Version),Custom field (Component/s),Custom field (Defects),Custom field (Epic Link),Custom field (Epic/Theme),Custom field (Fix Version/s),Custom field (Flagged),Custom field (HH Options),Custom field (Location),Custom field (Original story points),Custom field (Parent Link),Custom field (Preconditions),Custom field (QA person),Custom field (Rank),Custom field (Requirement),Sprint,Custom field (Steps),Custom field (Steps Progress),Custom field (Story Points),Custom field (TC Group),Custom field (TC Group Name),Custom field (TC Status),Custom field (TC Template),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Plan Iteration),Custom field (Version 1.0),Custom field (Version app),Custom field (Work Price),Comment
Перевірити роботу гарячої клавіші Ctrl+V для вставки,TESPG177-670,190350,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 12:37 AM,14/Apr/26 11:14 PM,12/Sep/26 10:11 PM,14/Apr/26 11:14 PM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# Існує список
# У буфері обміну є скопійоване значення

*Steps to Reproduce:*
# Натиснути комбінацію клавіш Ctrl+V
# Перевірити список

*Expected Result:*
Комбінація клавіш Ctrl+V вставляє значення з буфера обміну у список. ",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 12:37 AM;b.kotkov_g177;2026-04-10 23-36-51.mp4;https://bt.qacloud.cc/secure/attachment/117954/2026-04-10+23-36-51.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gep1:",,,,,,,,,,,,,,,,,
Перевірити роботу гарячої клавіші Ctrl+X для вирізання,TESPG177-669,190349,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 12:35 AM,14/Apr/26 11:14 PM,12/Sep/26 10:11 PM,14/Apr/26 11:14 PM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# Існує список із хоча б одним елементом
# Елемент списку виділений

*Steps to Reproduce:*
# Виділити елемент у списку
# Натиснути комбінацію клавіш Ctrl+X

*Expected Result:*
Комбінація клавіш Ctrl+X вирізає вибраний елемент зі списку",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 12:35 AM;b.kotkov_g177;2026-04-10 23-34-41.mp4;https://bt.qacloud.cc/secure/attachment/117953/2026-04-10+23-34-41.mp4",,,,,,,,,,,,,,,,,,,,"1|i0geot:",,,,,,,,,,,,,,,,,
Перевірити роботу гарячої клавіші Ctrl+C для копіювання,TESPG177-668,190348,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 12:32 AM,14/Apr/26 11:14 PM,12/Sep/26 10:11 PM,14/Apr/26 11:14 PM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# Існує список із хоча б одним елементом
# Елемент списку виділений

*Steps to Reproduce:*
# Виділити елемент у списку
# Натиснути комбінацію клавіш Ctrl+C

*Expected Result:*
Комбінація клавіш Ctrl+C копіює вибраний елемент.
 
 ",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 12:32 AM;b.kotkov_g177;2026-04-10 23-31-23.mp4;https://bt.qacloud.cc/secure/attachment/117952/2026-04-10+23-31-23.mp4",,,,,,,,,,,,,,,,,,,,"1|i0geol:",,,,,,,,,,,,,,,,,
Перевірити роботу гарячої клавіші Ctrl+Q для виходу з програми,TESPG177-667,190347,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 12:27 AM,11/Apr/26 1:26 AM,09/Sep/26 1:03 PM,11/Apr/26 1:26 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Натиснути комбінацію клавіш Ctrl+Q

*Expected Result:*
Комбінація клавіш Ctrl+Q закриває програму.
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 12:27 AM;b.kotkov_g177;2026-04-10 23-27-31.mp4;https://bt.qacloud.cc/secure/attachment/117951/2026-04-10+23-27-31.mp4",,,,,,,,,,,,,,,,,,,,"1|i0geod:",,,,,,,,,,,,,,,,,
Перевірити роботу гарячої клавіші Ctrl+S для збереження списку,TESPG177-666,190346,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 12:25 AM,11/Apr/26 1:26 AM,12/Sep/26 10:11 PM,11/Apr/26 1:26 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# Існує створений список

*Steps to Reproduce:*
# Відкрити додаток List Boxer 1.98
# Натиснути комбінацію клавіш Ctrl+S
# Обрати місце збереження
# Підтвердити збереження

*Expected Result:*
Комбінація клавіш Ctrl+S зберігає список у файл на диску.
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 12:24 AM;b.kotkov_g177;2026-04-10 23-20-48.mp4;https://bt.qacloud.cc/secure/attachment/117950/2026-04-10+23-20-48.mp4",,,,,,,,,,,,,,,,,,,,"1|i0geo5:",,,,,,,,,,,,,,,,,
Перевірити роботу гарячої клавіші Ctrl+O для відкриття списку,TESPG177-665,190345,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 12:19 AM,11/Apr/26 1:26 AM,09/Sep/26 1:03 PM,11/Apr/26 1:26 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# Існує збережений файл списку на диску

*Steps to Reproduce:*
# Натиснути комбінацію клавіш Ctrl+O
# Обрати файл списку
# Підтвердити відкриття

*Expected Result:*
Комбінація клавіш Ctrl+O відкриває список.",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 12:19 AM;b.kotkov_g177;2026-04-10 23-19-23.mp4;https://bt.qacloud.cc/secure/attachment/117949/2026-04-10+23-19-23.mp4",,,,,,,,,,,,,,,,,,,,"1|i0genx:",,,,,,,,,,,,,,,,,
"Перевірити виклик контекстної довідки через F1 для елементів управління Add to List, Clear List, Ascending, Descending, Alphabetic, Numeric",TESPG177-664,190344,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 12:16 AM,14/Apr/26 11:14 PM,12/Sep/26 10:11 PM,14/Apr/26 11:14 PM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Послідовно обрати елементи управління: “Add to List”, “Clear List”, “Ascending”, “Descending”, “Alphabetic”, “Numeric”
# Для кожного елемента натиснути клавішу F1
# Перевірити реакцію програми

*Expected Result:*
Для кожного елемента управління викликається контекстна довідка при натисканні F1.
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 12:15 AM;b.kotkov_g177;2026-04-10 23-14-33.mp4;https://bt.qacloud.cc/secure/attachment/117948/2026-04-10+23-14-33.mp4",,,,,,,,,,,,,,,,,,,,"1|i0genp:",,,,,,,,,,,,,,,,,
Перевірити наявність кнопки OK у вікні About ListBoxer,TESPG177-663,190343,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 12:10 AM,11/Apr/26 1:26 AM,12/Sep/26 10:11 PM,11/Apr/26 1:26 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Відкрити меню “Help”
# Обрати пункт “About ListBoxer”
# Перевірити наявність кнопки “OK”

*Expected Result:*
У вікні “About ListBoxer” присутня кнопка “OK”.
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 12:09 AM;b.kotkov_g177;зображення_2026-04-10_230940193.png;https://bt.qacloud.cc/secure/attachment/117947/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-04-10_230940193.png",,,,,,,,,,,,,,,,,,,,"1|i0genh:",,,,,,,,,,,,,,,,,
"Перевірити, що у вікні About ListBoxer відображається опис програми",TESPG177-662,190342,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 12:08 AM,11/Apr/26 1:26 AM,12/Sep/26 10:11 PM,11/Apr/26 1:26 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Відкрити меню “Help”
# Обрати пункт “About ListBoxer”
# Перевірити вміст вікна

*Expected Result:*
У вікні “About ListBoxer” відображається опис програми.
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 12:08 AM;b.kotkov_g177;зображення_2026-04-10_230819962.png;https://bt.qacloud.cc/secure/attachment/117946/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-04-10_230819962.png",,,,,,,,,,,,,,,,,,,,"1|i0gen9:",,,,,,,,,,,,,,,,,
"Перевірити, що у вікні About ListBoxer відображається версія програми",TESPG177-661,190341,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 12:06 AM,11/Apr/26 1:26 AM,12/Sep/26 10:11 PM,11/Apr/26 1:26 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Відкрити додаток List Boxer 1.98
# Відкрити меню “Help”
# Обрати пункт “About ListBoxer”
# Перевірити вміст вікна

*Expected Result:*
У вікні “About ListBoxer” відображається версія програми.
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 12:06 AM;b.kotkov_g177;2026-04-10 23-05-28.mp4;https://bt.qacloud.cc/secure/attachment/117945/2026-04-10+23-05-28.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gen1:",,,,,,,,,,,,,,,,,
Перевірити відкриття модального вікна програми About ListBoxer через дропдаун меню Help,TESPG177-660,190340,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 12:04 AM,11/Apr/26 1:26 AM,12/Sep/26 10:11 PM,11/Apr/26 1:26 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Відкрити меню “Help”
# Обрати пункт “About ListBoxer”
# Перевірити поведінку вікна

*Expected Result:*
Не вказано
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 12:04 AM;b.kotkov_g177;2026-04-10 23-02-32.mp4;https://bt.qacloud.cc/secure/attachment/117944/2026-04-10+23-02-32.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gemt:",,,,,,,,,,,,,,,,,
Перевірити наявність пункту About ListBoxer у дропдаун меню Help,TESPG177-659,190339,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,Done,,b.kotkov_g177,b.kotkov_g177,11/Apr/26 12:01 AM,11/Apr/26 1:26 AM,12/Sep/26 10:11 PM,11/Apr/26 1:26 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Відкрити додаток List Boxer 1.98
# Відкрити меню “Help”
# Перевірити наявність пункту “About ListBoxer”

*Expected Result:*
У меню “Help” присутній пункт “About ListBoxer”.
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"11/Apr/26 12:00 AM;b.kotkov_g177;зображення_2026-04-10_230050851.png;https://bt.qacloud.cc/secure/attachment/117943/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-04-10_230050851.png",,,,,,,,,,,,,,,,,,,,"1|i0geml:",,,,,,,,,,,,,,,,,
Перевірити наявність меню Help у головному вікні програми,TESPG177-658,190338,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 11:58 PM,11/Apr/26 1:26 AM,12/Aug/26 9:08 PM,11/Apr/26 1:26 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Відкрити додаток List Boxer 1.98
# Переглянути головне вікно програми

*Expected Result:*
У головному вікні присутнє меню “Help”.

 ",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 11:58 PM;b.kotkov_g177;зображення_2026-04-10_225808685.png;https://bt.qacloud.cc/secure/attachment/117942/%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%BD%D1%8F_2026-04-10_225808685.png",,,,,,,,,,,,,,,,,,,,"1|i0gemd:",,,,,,,,,,,,,,,,,
"Перевірити, що після скасування останньої дії можна продовжити роботу зі списком без помилок",TESPG177-657,190337,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 11:56 PM,11/Apr/26 1:25 AM,12/Aug/26 9:08 PM,11/Apr/26 1:25 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Додати новий елемент до списку
# Виконати Undo через меню “Edit”
# Ввести нове значення у поле вводу
# Натиснути “Add to List” або Enter
# Перевірити список

*Expected Result:*
Після виконання Undo можна продовжити роботу зі списком без помилок. Нові елементи коректно додаються.
",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 11:56 PM;b.kotkov_g177;2026-04-10 22-55-29.mp4;https://bt.qacloud.cc/secure/attachment/117941/2026-04-10+22-55-29.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gem5:",,,,,,,,,,,,,,,,,
"Перевірити, що Undo не викликає помилку при порожньому списку",TESPG177-656,190336,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Trivial,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 11:52 PM,11/Apr/26 1:25 AM,12/Sep/26 10:11 PM,11/Apr/26 1:25 AM,,,,,0,,"*Preconditions:*
 # Додаток List Boxer 1.98 запущений
 # Список порожній

*Steps to Reproduce:*
 # Відкрити меню “Edit”
 # Обрати команду “Undo”

*Expected Result:*
Команда “Undo” не викликає помилок або аварійного завершення програми при порожньому списку.",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 11:52 PM;b.kotkov_g177;2026-04-10 22-52-24.mp4;https://bt.qacloud.cc/secure/attachment/117940/2026-04-10+22-52-24.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gelx:",,,,,,,,,,,,,,,,,
"Перевірити поведінку команди Undo, якщо до цього не було виконано жодної дії",TESPG177-655,190335,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Minor,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 11:49 PM,11/Apr/26 1:25 AM,12/Sep/26 10:11 PM,11/Apr/26 1:25 AM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений
# Жодних дій зі списком не виконано

*Steps to Reproduce:*
# Відкрити додаток List Boxer 1.98
# Відкрити меню “Edit”
# Обрати команду “Undo”

*Expected Result:*
Не вказано ",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 11:49 PM;b.kotkov_g177;2026-04-10 22-48-51.mp4;https://bt.qacloud.cc/secure/attachment/117939/2026-04-10+22-48-51.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gelp:",,,,,,,,,,,,,,,,,
Перевірити скасування останньої дії після очищення списку через Clear List,TESPG177-654,190334,Test Case,Done,TESPG177,Test_Project_G177,software,nboboshko,,,Major,Done,,b.kotkov_g177,b.kotkov_g177,10/Apr/26 11:47 PM,14/Apr/26 11:13 PM,12/Sep/26 10:11 PM,14/Apr/26 11:13 PM,,,,,0,,"*Preconditions:*
# Додаток List Boxer 1.98 запущений

*Steps to Reproduce:*
# Додати кілька елементів до списку
# Натиснути кнопку “Clear List”
# Відкрити меню “Edit”
# Обрати команду “Undo”
# Перевірити список

*Expected Result:*
Остання дія (очищення списку) скасовується. Список відновлюється до попереднього стану з усіма елементами. ",,b.kotkov_g177,,,,,,,,,,TESPG177-493,"10/Apr/26 11:47 PM;b.kotkov_g177;2026-04-10 22-44-58.mp4;https://bt.qacloud.cc/secure/attachment/117938/2026-04-10+22-44-58.mp4",,,,,,,,,,,,,,,,,,,,"1|i0gelh:",,,,,,,,,,,,,,,,,
